When is [professor] teaching [class-number]? | List of [day]
How many sections of [course] is offered in [term_name]? | [course] has [class_section] sections offered in [term_name].
Is professor [professor] teaching in [term_name]? | [professor] [professor_status] teaching in [term_name].
What is the date range for [term]? | Term starts on [start_date] and ends on [end_date].
When does [term] start and end? | Term starts on [start_date] and ends on [end_date].
What dates does [course]-[course_section] start and end? | [class]-[class_section] starts on [start_date] and ends on [end_date].
What dates does [class_number] start and end? | [class_number] starts on [start_date] and ends on [end_date].
How long is [course]-[course_section]? | [class]-[class_section] is [class_duration] hours long.
How long is [class_number]? | [class_number] is [class_duration] hours long.
How many classes are offered in [term]? | [number_lectures_in_term] are taught in [term].
How many lecturers are offered in [term]? | [number_labs_in_term] are taught in [term].
What are the prereqs for [course]? | [prereqs] are the prereqs for [course].
What are the prereqs for [class_number]? | [prereqs] are the prereqs for [class_number].
How many classes does [professor] teach? | [professor] teaches [number_lectures_taught_by_professor].
How many labs does [professor] teach? | [professor] teaches [number_lab_taught_by_professor].
Which professor teaches the most classes? | [professor] teaches the most classes.
Which professor teaches the most sections of [course]? | [professor] teaches the most sections of [course].
Which professor has the most open seats in [course]? | [professor] has the most open seats in [course].
Which professor has the most drops? | [professor] has the most drops.
Which professor has the longest waitlist? | [professor] has the longest waitlist.
What is [professor]’s Cal Poly alias? | [professor]’s Cal Poly alias is [professor]
What is [professor]’s job title? | [professor]’s job title is [job title]
What is [professor]’s phone number? | [professor]’s phone number is [phone num]
Where is [professor]’s office? | [professor]’s office is in [location]
When are [professor]’s office hours? | [professor]’s office hours are [time slot]
Does [professor] teach [course code] in [term]? | [yes/no]
What is [professor]’s full name? | [professor]’s full name is [professor]
What is [professor]’s job title? | [professor]’s job title is [job title]
What is [professor]’s phone number? | [professor]’s phone number is [phone num]
Where is [professor]’s office? | [professor]’s office is in room [location]
When are [professor]’s office hours? | [professor]’s office hours are [time slot]
Who is the department chair of [course]? | [professor] is the chair of the [course] department
How many sections of [course code] are being offered in [school term]? | There are [integer] sections available of [course code] in [school term]
Is [course code] being offered in [school term]? | [yes/no]
How many sections of [course code] are being taught by [professor] in [school term]? | [integer] sections of [course code] are being taught by [professor] in [school term]
When is [course code] [section num]? | [course code] [section num] is [day slot] [time slot]
Does [course code] have a lab section? | [yes/no]
Where is [course code] [section num]? | [course code] [section num] is in room [location]
What class is [course code]? | [course code] is [course description]
What class type is [course code]? | [course code] is a [course type] class
Are there any prerequisites for [course code]? | [yes/no]
What are the prerequisites for [course code]? | [course code] requires [requisite]
What’s the enrollment limit of [course code]? | The enrollment capacity of [course code] is [enroll cap]
How many students are enrolled in [course code]? | [enroll count] students are enrolled in [course code]
How many students are waitlisted for [course code]? | [waitlist total] students are waitlisted for [course code]
How many distinct students are waitlisted for [course code]? | [waitlist distinct] students are distinctly waitlisted for [course code]
How many waitlisted students are unaccommodated for [course code]? | [waitlist unaccom] waitlisted students are unaccomodated for [course code]
How many students have dropped [course code]? | [drop count] students have dropped [course code]
How many students have withdrawn from [course code]? | [withdraw count] students have withdrawn from [course code]
What class number is [course description]? | [course description] is [course code]
What class type is [course description]? | [course description] is a [course type] class
Are there any prerequisites for [course description]? | [yes/no]
What are the prerequisites for [course description]? | [course description] requires [requisite]
What’s the enrollment limit of [course description]? | The enrollment capacity of [course description] is [enroll cap]
How many students are enrolled in [course description]? | [enroll count] students are enrolled in [course description]
How many students are waitlisted for [course description]? | [waitlist total] students are waitlisted for [course description]
How many distinct students are waitlisted for [course description]? | [waitlist distinct] students are distinctly waitlisted for [course description]
How many waitlisted students are unaccommodated for [course description]? | [waitlist unaccom] waitlisted students are unaccomodated for [course description]
How many students have dropped [course description]? | [drop count] students have dropped [course description]
How many students have withdrawn from [course description]? | [withdraw count] students have withdrawn from [course description]
Where are [professor] office hours? | [professor] office hours are located in [location] on [days and times].
Where is [professor] office? | [location]
Where is [professor] at [time]? | [professor] is in [location] on [days and times].
When are [professor] office hours? | [professor] office hours are located in [location] on [days and times].
What class is [professor] teaching at [time]? | [course code]
What is [professor] schedule? | [list_of(course code)] at [days and times]
When is [professor] instructing [course code]? | [days and times]
Does [professor] have office hours on [day slot]? | [yes/no]. [professor] has office hours in [location] on [days and times].
Does [professor] teach [course code]? | [professor] instructs [list_of(course code)]
Does [professor] instruct [course code]? | [professor] instructs [list_of(course code)]
Does [course code] interfere with [course code]? | [yes/no], [days and times]
Does [course code] have a scheduling conflict with [course code]? | [yes/no], [days and times]
Does [course code] interfere with [course code] or [course code]? | [yes/no], [days and times]
Are there office hours for [course code]? | [yes/no]. [professor] has office hours for [course code] in [location] on [days and times].
Who has office hours in [location]? | [list_of(prof name)].
Who has office hours in [location] at [time]? | [list_of(prof name)].
Who has office hours in [location] on [day slot] at [time]? | [list_of(prof name)].
Who has office hours on [day slot] at [time]? | [list_of(prof name)].
Which office hours are in [location]? | [list_of(course code)]
What is the alias for [professor]? | [professor]
What is the username for [professor]? | [professor]
What is the email for [professor]? | [professor]@calpoly.edu
What is [professor] email? | [professor]@calpoly.edu
Which professor has email [professor]? | [professor]
Give me [professor] email. | [professor]@calpoly.edu
Give me [professor] phone number. | [phone_number]
Which classes are in [location]? | [list_of(course code)]
Which classes are located in [location]? | [list_of(course code)]
Which classes are in [location] at [time] on [day slot]? | [list_of(course code)]
Which classes are in [location] at [time]? | [list_of(course code)]
Where are the office hours for [course code]? | [professor] has office hours in [location] on [days and times].
Where are the office hours for [professor]? | [professor] has office hours in [location] on [days and times].
Where is [course code] located? | [course code] is located in [location] on [days and times].
Where is [course code] located on [day slot]? | [course code] is located in [location] on [days and times].
When are the office hours for [course code]? | [professor] has office hours in [location] on [days and times].
When does [course code] start? | [days and times]
When does [course code] end? | [days and times]
Is [course code] lecture or lab? | [course code] is a [course type] section.
Is [course code] a lecture? | [yes/no]
Is [course code] a lab? | [yes/no]
Does [course code] have a lab section? | [yes/no]
What is the lab section for [course code]? | [course code]
What is the lab for [course code]? | [course code]
What is the activity section for [course code]? | [course code]
What is the lecture section for [course code]? | [course code]
What is the lecture for [course code]? | [course code]
What type is [course code]? | [course type]
What term is [course code] offered? | [list_of(school term)]
What quarter is [course code] offered? | [list_of(school term)]
Is [course code] offered [school term]? | [yes/no]
How many classes is [professor] teaching [school term] quarter? | [number_of(course code)].
Which classes are [professor] instructing this quarter? | [list_of(course code)].
Which professors are teaching [course code]? | [list_of(prof name)]
Who is teaching [course code]? | [list_of(prof name)]
Which professor is instructing [course code]? | [list_of(prof name)]
What are the sections of [course code]? | [list_of(course code)]
Which sections of [course code] are on [day slot]? | [list_of(course code)]
Which sections of [course code] are on [day slot] at [time]? | [list_of(classes)]
Which sections of [course code] are between [time] and [time]? | [list_of(course code)]
Which sections of [course code] are between [time] and [time] on [day slot]? | [list_of(course code)]
How many people are in [course code]? | [students]
How many people are enrolled in [course code]? | [students]
How many students are enrolled in [course code]? | [students]
How many students have dropped [course code]? | [students]
How many students dropped [course code]? | [students]
How many seats are left in [course code]? | [students]
How many seats are remaining in [course code]? | [students]
How many open seats are there in [course code]? | [students]
What is the remaining capacity of [course code]? | [students]
What is the capacity of [course code]? | [students]
What is the enrollment cap of [course code]? | [students]
What is the location cap of [course code]? | [students]
What is the class number for [course code]? | [class_number]
What is the class number of [course code]? | [class_number]
Which class has number [class_number]? | [course code]
Which class is [class_number]? | [course code]
Which class is [course code]? | [class_number]
Which classes have fewer than [students] students? | [list_of(course code)]
Which classes have fewer than [students] [enrollment_status]? | [list_of(course code)]
Which classes have no students [enrollment_status] | [list_of(course code)]
Which classes satisfy [ge]? | [list_of(course code)]
Which classes taught by [professor] satisfy [ge]? | [list_of(course code)]
Which classes start before [time] and satisfy[ge]? | [list_of(course code)]
Which professors instruct classes that satisfy [ge]? | [list_of(course code)]
Which classes on [day slot] start before [time]? | [list_of(course code)]
Which classes satisfy [ge] and end before [time]? | [list_of(course code)]
Which classes in [location] start before [time] on [day slot]? | [list_of(course code)]
Which rooms have a class that starts after [time]? | [list_of(room code)]
Does [course code] satisfy [ge]? | [yes/no], [course code] satisfies [ge]
What are the requirements for [course code]? | [requisite]
What is [professor]’s number? | [phone]
What is the number of [professor]? | [phone]
How can I call [professor]? | [phone]
How can I talk to [professor]? | [phone]
What is [professor]’s email? | [email]
What is the email of [professor]? | [email]
How can I email [professor]? | You can email [professor] at [email]
How can I message [professor]? | You can email [professor] at [email]
How do I contact [professor]? | You can call [professor] at [phone] or email them at [email]
How can I reach [professor]? | You can call [professor] at [phone] or email them at [email]
How can I get in touch [professor]? | You can call [professor] at [phone] or email them at [email]
What is the best way to reach [professor]? | You can call [professor] at [phone] or email them at [email]
What is the alias of [professor]? | [professor]
What is [professor]’s alias? | [professor]
Is [professor] [professor]? | Yes or No
What courses does [professor] teach? | [professor] is teaching [courses]
What is [professor] teaching this [term]? | [professor] is teaching [courses]
What courses are [professor] teaching in [term]? | [professor] is teaching [courses] in [term]
Did [professor] teach [course] in [term]? | Yes or No
Is [professor] teaching [course] in [term]? | Yes or No
Is [professor] teaching in the [term]? | Yes or No
Is [professor] teaching this [term]? | Yes or No
Would [professor] be teaching [course] in [term]? | Yes or No
Who is the instructor for [course]? | [professor] teaches [course]
Who is the professor for [course]? | [professor] teaches [course]
Who is the teacher for [course]? | [professor] teaches [course]
Who is teaching [course]? | [professor] teaches [course]
Who teaches [course]? | [professor] teaches [course]
Who might teach [course]? | Professor [professor] teaches [course]
Which professor teaches [course]? | [professor] teaches [course]
Which person teaches [course]? | [professor] teaches [course]
When is [course] offered? | [course] are offered during the [term]
When can I take [course]? | [course] are offered during the [term]
What quarters can I take [course]? | [course] are offered during the [term]
What courses are offered in [term]? | [courses] are offered during the [term]
Is [course] offered in [term]? | Yes or No
Can I take [course] in [term]? | Yes or No
Is [course] available in [term]? | Yes or No
What are the section numbers of [course] in [term]? | The section numbers of [course] are [sections]
How many sections of [course] are available in [term]? | NUM([sections]) of [course] are available in [term]
What part of the day are the lectures offered for [course] in [term] by [professor]? | The lecture times for [course] in [term] by [professor] are [times]
What time are the lectures for [course] in [term] by [professor]? | The lecture times for [course] in [term] by [professor] are [times]
What are the lecture times for [course] in [term] by [professor]? | The lecture times for [course] in [term] by [professor] are [times]
What part of the day are the labs offered for [course] in [term] by [professor]? | The lab times for [course] in [term] by [professor] are [times]
What time are the labs for [course] in [term] by [professor]? | The lab times for [course] in [term] by [professor] are [times]
What are the lab times for [course] in [term] by [professor]? | The lab times for [course] in [term] by [professor] are [times]
Where is [course] [course]located? | [location]
Where can I find [course] [course]? | [location]
Where is [course] [course] classroom? | [location]
What building is [course] in? | [location]
Is [num] the largest enrollment cap for [course]? | Yes or No
Where can I see [professor]? | [location]
Where is [professor]’s office? | [location]
Where is [professor]’s office located? | [location]
Where are [professor]’s office hours? | [location]
Where can I find [professor] on campus for office hours? | [location]
Is [location] [professor]’s office? | Yes or No
Is [location] [professor]’s office hours? | Yes or No
Will I find [professor] at [location]? | Yes or No
How many sections are there for [course]? | [sectioncount]
What is the capacity for [location]? | [lcap]
What is the size of [location]? | [lcap]
What is the class number for [course] [course]? | [course]
Who is the department chair of [dept]? | [professor]
On what days is [professor] in office? | [days]
On what days is [professor] out of the office? | [days]
When are [professor] office hours? | [days] [times]
When can I meet with [professor]? | [days] [times]
When is the best time to meet with [professor]? | [days] [times]
How can I see [professor]? | [days] [times]
Does [professor] have office hours on [day]? | Yes or No
Is [professor] available on [day]? | Yes or No
Is [professor] in the office on [day]? | Yes or No
Is [professor] out of the office on [day]? | Yes or No
Is [professor] out on [day]? | Yes or No
What is the largest enrollment cap for [course]? | [ecap]
What is the maximum amount of students allowed for [course]? | [ecap]
How many students can be enrolled in [course]? | [ecap]
What is the enrollment cap for [course] that [professor] teaches? | [ecap]
What is the enrollment cap for [course]? | [ecap]
What is the cap for [course] that [professor] teaches? | [ecap]
What is the max enrollment for [course] that [professor] teaches? | [ecap]
What is the enrollment cap for [course] [course]? | [ecap]
How many students can be enrolled in [course] [course]? | [ecap]
What is [professor]’s department? | [dept]
Which department does [professor] work under? | [dept]
Is [professor] in [dept]? | Yes or No
Tell me the professors from [dept] | [professor]
Does [course] have labs? | Yes or No
Are there labs for [course]? | Yes or No
Do I need to take a lab for [course]? | Yes or No
What days is [course] [course] on? | [days]
What type of class is [course] [course]? | [type]
Is [course] a [type]? | Yes or No
What is the title of [professor]? | [title]
Who is [professor]? | [title]
What does [professor] do? | [title]
Who is using [location] in [term]? | [professor]
Is [location] used in [term]? | Yes or No
Who is the current Computer Science department chair? | [csc-department-chair]
Who is the current Administrative Support Coordinator for the Computer Science department? | [csc- administrative-support-coordinator]
Does Cal Poly offer a Blended Bachelors and Masters program in Computer Science? | yes
Are there prerequisites for CSC123? | no
What is the total number of units required for a Bachelors in Computer Science? | 180 units
What is the total number of units required for a Masters in Computer Science? | 45 units
What are the prerequisites for [csc-course]? | [course]
How many concentrations does the Computer Science department offer? | 1
What concentrations does the Computer Science department offer? | Concentration in Interactive Entertainment
Does Cal Poly offer a Cross Disciplinary Studies Minor in Data Science? | yes
What minors does the Computer Science department offer? | [csse-minors]
What requirements does a student need to meet to be qualified for the Computer Science Blended Program? | Complete 20 units of CSC courses past CPE 203 and have a minimum  GPA of 3.0
How many total students are currently in the Computer Science program? | 550 students
Approximately how many undergrad students are in the Computer Science program? | 450 undergrad students
Approximately how many graduate students are in the Computer Science program? | More than 75 graduate students
What is the Computer Science department’s email? | computer-science@calpoly.edu
What is the Computer Science department’s phone number? | (805)756-282
How many faculty members are in the Computer Science department? | 49
How many affiliate faculty members are in the Computer Science department? | 2
How many active emeriti members are in the Computer Science department? | 2
How many staff members are in the Computer Science department? | 4
Is [professor] teaching [course] this quarter? | yes or no
What classes is [professor] teaching [term]? | [faculty-csse-courses]
What is the building number for the Computer Science building? | 14
What are the two series options to complete the Physical Science Support Electives? | Physics and Chemistry
How many units of  free electives are allowed in the Computer Science curriculum? | 0 units
What is the Computer Science department’s Instagram page? | @cpcscandse
What are the hours for the Computer Science Department? | 9:00am-12:00pm and 1:00pm-4:00pm, Monday to Friday
Is [course] being offered in [term]? | yes or no
What courses in the Computer Science curriculum don’t require any prerequisites | [course]
Is the Computer Science office currently open? | no
Is [course] an approved technical elective? | yes or no
Is double-counting allowed between Science Support Electives? | no
How do I contact [professor] ? | [csse-faculty-phonenumber]
What is [professor] ‘s phone number? | [csse-faculty-phonenumber]
Where is [professor]’s office? | [location]
Who is teaching STAT 302 this quarter? | Walker, J; McGaughey, K
Do you offer the STAT 302 course on Tuesday and Thursday this quarter? | Yes or no
How many sections do you offer the STAT 302 course this quarter? | 3
What is [professor] ‘s title? | [csse-faculty-title]
Does [course] have a lab? | yes or no
What classes are [professor] teaching this quarter? | [course] [course]
Who is in [location]? | [professor]
Who is the current Statistics department chair? | [stats-department-chair]
What are the prerequisites for [course]? | [course]
What is the building number for the Math and Statistics building ? | 25
Where do I look for [term] schedule? | https://schedules.calpoly.edu/
How many units is [course] ? | [stats-course-unit]
Is [course] 4 units? | Yes or no
Is [professor] the current Computer Science department chair? | Yes or no
Where can I find [professor]’s office? | [location]
What time does [course][course] start on Monday? | [csse-course-time-start] or There is no class on Monday
I am looking for [course] on [csse-course-days] | [course][course] or There is no class that is offered on  [csse-course-days]
I am looking for [course] on [csse-course-days] after [time]? | [course][course] or There is no class that is offered on  [csse-course-days] after [time]
Where can I find the Computer Science building? Cal Poly campus building | 14
Where can I find the Math and Statistics building? Cal Poly campus building | 25
How many people drop [course][course] in [term]? | [stats-course-drops]
Are there a lot of people dropping [course][course] in [term]? | There are [stats-course-drops] people dropping this class in [term]
Do you offer [course] this quarter? | Yes or no
Where do I look for the Statistic class schedule this quarter? | https://schedules.calpoly.edu/depts_76-CSM_curr.htm
Where do I look for the CSSE class schedule this quarter? | https://schedules.calpoly.edu/depts_52-CENG_curr.htm
Does the Computer Science department offer classes on the weekend? | No
Is [professor] teaching [course] this quarter? | Yes or No
Is [professor] teaching [course] this quarter? | Yes or No
How do I contact [professor]? | Call [stats-faculty-phonenumber] or visit [location]
Is [professor]’s office [location]? | Yes or No
Is [course] offered in Fall 2021? | Yes or no
Can I take [course] this quarter? | Yes or no
Do I need to take [course] after [course]? | Yes or no
Can I take [course] as a tech elective? | Yes or no
Does [course] count as a technical elective for Computer Science major? | Yes or no
Does [course] have a lab? | Yes or no
Whose office is in [location]? | [professor]
What stats classes are offered in [term]? | [stats-courses]
Can you tell me all stats classes offered in [term]? | [stats-courses]
Is [course] waitlisted? | Yes/ no
is [professor] teaching  [course]? | Yes / no
Who is teaching [course]? | [professor]
What do I need to get into Computer Science blended program? | Complete 20 units of CSC courses past CPE 203 and have a minimum  GPA of 3.0
How many units do I need to take to get my Bachelors degree in CS? | 180 units
Does the computer science department have an instagram page? | Yes, it’s @cpcscandse
Can I take any free electives as a computer science major? | No
Can a computer science major have any free electives? | No
How many units do I need to get a Master degree in computer science? | 45 units
Can I take [course] as a pre-req to [course]? | Yes or no
Is [course] a pre-req to [course]? | [bool]
Is [course] required for [course]? | [bool]
Is the computer science department open during the weekend? | No, they are available 9:00am-12:00pm and 1:00pm-4:00pm, Monday to Friday
Is [csc-department-chair] still the department chair of Computer Science? | Yes
What time does [stat-course] section  [course] starts? | [stat-course-time-start]
What’s the earliest section for [course]? | The earliest section is [course] taught by CSSE-Faculty] that starts at [csse-course-time-start]
What’s the latest section for [course]? | The latest section is [course] taught by CSSE-Faculty] that starts at [csse-course-time-start]
Are there any CSC courses offered before [time]? | [course]
Are there any CSC courses offered  after [time]? | [course]
Are there any CSC courses offered  after [time] but before [time]? | [course]
What time does [course] section  [course] starts? | [csse-course-time-start]
What time does [course] section  [course] ends? | [csse-course-time-end]
Where is the computer science building? | Building 14
Where is the statistics building? | Building 25
